row_id,Harvest_method,Fruit_total_norm,speed_tot_norm,stem_tot_norm,stem_ht_norm,branch_cnt_norm,fruit_loss_norm,Total_fruit_norm
62,1,0.305986696,0.351764556,0.506666667,0.411985143,0.357144005,0.652777778,1.53171E-08
63,1,0.184035477,0.52944165,0.013333333,0.367041323,0.214287117,1,1.53171E-08
64,0,0.048780488,0.00191403,0.266666667,0.310861548,0.303572672,0.678571429,0.198866553
65,0,0.146341463,0.007417692,0.44,0.272159925,0.232144228,0.513888889,0.198866553
66,0,0.164079823,0.012921355,0.08,0.354556929,0.178572895,0.45,0.198866553
69,1,0.159645233,0.425333977,0.76,0.414482022,0.142858673,1,0.032931701
70,1,0.141906874,0.164370745,0.04,0.591760424,0.428572449,0.671428571,0.048963561
71,1,0.084257206,0.332331123,0.413333333,0.677902746,0.196430006,0.590909091,0.048963561
72,1,0.079822616,0.500291501,0.16,0.179775406,0.125001563,0.428571429,0.048963561
73,1,0.119733925,0.183804178,0.413333333,0.60174794,0.303572672,0,0.094608409
74,1,0.152993348,0.371197988,0.426666667,0.514357179,0.125001563,0.253333333,0.094608409
75,1,0.195121951,0.558591798,0.453333333,0.503121224,0.321429783,0.053191489,0.094608409
76,1,0.257206208,0.268478418,0.56,0.501872784,0.410715338,0.155737705,0.100888405
77,1,0.33481153,0.540546468,0.56,0.289638078,0.410715338,0.025477707,0.100888405
78,1,0.139689579,0.812614518,0.266666667,0.097378402,0.107144452,0.797101449,0.100888405
79,1,0.23059867,0.206013814,0.426666667,0.506866542,0.571429337,0,0.171755351
80,1,0.257206208,0.415617261,0.36,0.611735456,0.375001116,0.073770492,0.171755351
81,1,0.279379157,0.625220708,0.48,0.672908989,0.375001116,0.068181818,0.171755351
82,1,0.257206208,0.183804178,0.493333333,0.727840325,0.339286894,0.06557377,0.203768013
83,1,0.170731707,0.371197988,0.413333333,0.42072422,0.196430006,0.036144578,0.203768013
84,1,0.361419069,0.558591798,0.32,0.410736704,0.44642956,0.094674556,0.203768013
89,0,0.164079823,0.008362048,0.28,0.583021348,0.571429337,0.1625,0.248902292
90,0,0.241685144,0.014337888,0.186666667,0.14731598,0.232144228,0.504347826,0.248902292
91,0,0.192904656,9.15E-06,0.24,0.423221099,0.375001116,0.817204301,0.255590743
92,0,0.401330377,0.003607935,0.613333333,0.426966417,0.142858673,0.561497326,0.255590743
93,0,0.177383592,0.007206719,0.586666667,0.485643071,0.285715561,0.546511628,0.255590743
94,1,0.057649667,0.175475564,0.546666667,0.641698003,0.303572672,1,0.088226299
95,1,0.303769401,0.35454076,0.44,0.151061299,0.160715784,0.097902098,0.088226299
96,1,0.128603104,0.533605957,0.186666667,0.204744195,0.392858227,0.75,0.088226299
97,1,0.199556541,0.197685201,0.306666667,0.029962672,0.125001563,0.791666667,0.213213535
98,1,0.472283814,0.398960034,0.493333333,0.411985143,0.26785845,0.410958904,0.213213535
99,1,0.288248337,0.600234867,0.16,0.629213608,0.375001116,0.338235294,0.213213535
100,0,0.270509978,0.000458999,0.6,0.186017603,0.44642956,0.4296875,0.789645681
101,0,0.319290466,0.004507631,0.626666667,0.772784145,0.464286671,0.326666667,0.789645681
102,0,0.243902439,0.008556263,0.306666667,0.560549438,0.196430006,0.801724138,0.789645681
103,1,0.219512195,0.21573053,0.186666667,0.104869039,0.375001116,0.333333333,0.090370688
104,1,0.33037694,0.435050693,0.2,0.438202372,0.392858227,0.664516129,0.090370688
105,1,0.235033259,0.654370857,0.16,0.304619351,0.464286671,0.633928571,0.090370688
106,0,0.299334812,0.000218604,0.346666667,0.048689263,0.392858227,0.361702128,0.213877275
107,0,0.164079823,0.004026841,0.36,0.222222347,0.214287117,0.45,0.213877275
108,0,0.079822616,0.007835078,0.16,0.323345943,0.214287117,0.30952381,0.213877275
109,1,0.241685144,0.285135645,0.346666667,0.198501997,0.285715561,0.87826087,0.047789253
110,1,0.394678492,0.573860923,0.106666667,0.161048814,0.428572449,0.260869565,0.047789253
111,1,0.215077605,0.862586201,0.053333333,0.104869039,0.339286894,0.330097087,0.047789253
112,1,0.146341463,0.271254622,0.053333333,0.061173658,0.250001339,0.486111111,0.043296247
113,1,0.45232816,0.546098877,0.413333333,0.205992634,0.232144228,0.952380952,0.043296247
114,1,0.257206208,0.820943132,0.173333333,0.566791636,0.250001339,0.344262295,0.043296247
116,1,0.011086475,0.348988351,0.826666667,0.349563171,0.392858227,0.272727273,0.091187598
117,1,0.23059867,0.525277343,0.146666667,0.285892759,0.357144005,0.290909091,0.091187598
119,1,0.062084257,0.52944165,0.133333333,0.029962672,0.160715784,1,0.034718692
120,1,0.161862528,0.795957291,0.08,0.479400874,0.392858227,0.367088608,0.034718692
121,1,0.188470067,0.165758848,0.253333333,0.289638078,0.410715338,0.076923077,0.075155739
122,1,0.124168514,0.335107328,0.213333333,0.392010112,0.26785845,0.258064516,0.075155739
123,1,0.022172949,0.504455808,0.053333333,0.298377154,0.160715784,1,0.075155739
124,0,0.070953437,0.002591485,0.146666667,0.617977653,0.482143782,0.026315789,0.221791091
125,0,0.314855876,0.008772602,0.306666667,0.571785393,1,0,0.221791091
127,1,0.184035477,0.301792873,0.466666667,0.337078776,0.339286894,0.348314607,0.101858486
128,1,0.035476718,0.607175378,0.053333333,0.07990025,1.79E-06,0.636363636,0.101858486
129,1,0.33037694,0.912557884,0.28,0.232209863,0.285715561,0.670967742,0.101858486
130,0,0.33481153,9.15E-06,0.373333333,0.501872784,0.214287117,0.261146497,0.443582166
131,0,0.350332594,0.003607935,0.16,0.314606866,0.196430006,0.195121951,0.443582166
132,0,0.321507761,0.007206719,0.346666667,0.433208614,0.142858673,0.006622517,0.443582166
133,1,0.248337029,0.226835349,0.346666667,0.471910237,0.392858227,0.677966102,0.20560606
